,0,1,2,3,4,5,6,7,8,9,10,11,23,22
0,M001158,0.0,1382298.68, KENNY E MR. MARCHANT,REP,I,893439.82,528905.18,174775.0,718664.82,1033312.66,200.0,Kenny Marchant,House
1,B001248,0.0,478104.99, MICHAEL C. DR. BURGESS,REP,I,1361204.87,1091006.23,376458.49,984746.38,1364055.55,7593.58,Michael Burgess,House
2,I000057,0.0,933449.34, STEVE J. ISRAEL,DEM,I,1425764.18,1166298.1,896153.71,529610.47,1432208.36,3735.87,Steve Israel,House
3,W000813,0.0,55985.13, JACKIE WALORSKI SWIHART,REP,I,1880806.57,2080501.63,1000001.88,880804.69,1898007.35,4500.0,Jackie Walorski,House
4,B001290,0.0,168013.54, DAVID ALAN MR. BRAT,REP,I,1218162.14,1166347.78,1042812.16,169794.56,1273941.57,11061.0,David Brat,House
5,B001277,0.0,2953419.0, RICHARD BLUMENTHAL,DEM,I,7253216.0,5070058.0,5512687.0,1698372.0,7362368.0,68263.0,Richard Blumenthal,Senate
6,T000478,252640.89,87416.16, CLAUDIA TENNEY,REP,O,911509.1,889095.44,586674.1,319585.0,971967.05,1200.0,Claudia Tenney,House
7,K000391,1046.05,925882.71, S. RAJA KRISHNAMOORTHI,DEM,O,3571882.44,2646752.35,2975414.21,583011.84,3572635.06,10149.47,Raja Krishnamoorthi,House
8,B001298,35000.0,30736.02, DONALD BACON,REP,C,1606155.1,1579008.03,1027119.25,547450.0,1607044.1,2825.0,Don Bacon,House
9,R000601,294250.0,128611.59, JOHN L RATCLIFFE,REP,I,922260.25,910084.89,430467.96,491792.29,926921.79,4750.0,John Ratcliffe,House
10,D000216,0.0,15216.06, ROSA L DELARUO,DEM,I,1141138.52,1150878.91,556966.37,584172.15,1146729.78,0.0,Rosa DeLauro,House
11,G000535,0.0,156161.75, LUIS V GUTIERREZ,DEM,I,507169.08,560492.3,174351.18,332817.9,525090.18,1400.0,Luis Gutiérrez,House
12,L000577,0.0,347208.0, MIKE LEE,REP,I,3912645.73,4001943.25,2966375.73,941170.0,3981888.49,210251.0,Mike Lee,Senate
13,S001175,9800.31,1542893.67, JACKIE SPEIER,DEM,I,868436.66,609007.1,507649.83,360754.7,874657.21,500.0,Jackie Speier,House
14,G000566,0.0,667018.58, TREY GOWDY,REP,I,1895113.8,1588411.29,1592113.8,303000.0,1902503.31,25820.0,Trey Gowdy,House
15,J000294,0.0,1011604.86, Hakeem Jeffries,DEM,I,1286940.1,791629.45,720875.18,566064.92,1294870.12,7010.0,Hakeem Jeffries,House
16,K000385,0.0,394085.2, ROBIN L. KELLY,DEM,I,1110068.09,838787.75,423880.35,686187.74,1110806.16,11746.57,Robin Kelly,House
17,P000597,20000.0,533293.6, CHELLIE M PINGREE,DEM,I,612776.1,296523.89,400839.26,170950.0,614358.96,3116.67,Chellie Pingree,House
18,D000628,342385.31,12922.95, NEAL PATRICK MD DUNN,REP,O,1407852.58,2047935.63,1031982.42,366650.0,2060858.58,1800.0,Neal Dunn,House
19,B001304,51000.0,171393.09, ANTHONY GREGORY BROWN,DEM,O,1240675.05,1478598.99,802321.4,432853.65,1649992.08,7845.0,Anthony Brown,House
20,B001289,0.0,446318.33, BRADLEY ROBERTS BYRNE,REP,I,1334317.77,1172750.28,491117.77,843200.0,1367469.77,1100.0,Bradley Byrne,House
21,H001068,192.45,600808.34, JARED HUFFMAN,DEM,I,969170.37,757560.62,559633.89,409486.48,973816.67,10530.0,Jared Huffman,House
22,T000472,0.0,116212.76, MARK TAKANO,DEM,I,1064473.0,999113.21,742940.86,321500.0,1075393.13,7848.07,Mark Takano,House
23,M001156,0.0,1395807.38, PATRICK TIMOTHY MCHENRY,REP,I,2814937.38,2670567.42,1110727.4,1703709.98,3226166.96,30200.0,Patrick McHenry,House
24,H001075,2629.0,929433.0, KAMALA D HARRIS,DEM,O,14165901.0,14420677.0,13300427.0,865472.0,15350110.0,271810.0,Kamala Harris,Senate
25,P000608,250000.0,1073307.61, SCOTT PETERS,DEM,I,3556492.29,2600005.82,1909374.06,1526653.33,3604614.7,56348.66,Scott Peters,House
26,M000689,0.0,89573.62, JOHN L. MR. MICA,REP,I,1643765.52,1828019.08,777737.33,866028.19,1646784.85,21052.34,John Mica,House
27,M001181,0.0,1935355.56, PATRICK L. MR. MEEHAN,REP,I,2411483.69,2172511.18,857431.68,1552902.01,2436664.37,4609.32,Pat Meehan,House
28,F000465,0.0,42122.76, ANDERSON DREW IV FERGUSON,REP,O,1258245.34,1216231.22,734140.5,524104.84,1258353.98,2750.0,A. Ferguson,House
29,M001137,0.0,123600.79, GREGORY W. MEEKS,DEM,I,985897.38,1031865.64,226597.38,759300.0,990039.17,0.0,Gregory Meeks,House
30,R000409,0.0,237775.2, DANA ROHRABACHER,REP,I,849046.36,659108.23,802689.36,46357.0,887923.35,11850.0,Dana Rohrabacher,House
31,F000458,0.0,2706654.18, STEVE MR. FINCHER,REP,I,498350.32,347280.08,31150.32,467200.0,509604.86,1000.0,Stephen Fincher,House
32,K000390,56451.76,16494.0, RUBEN KIHUEN,DEM,C,2217739.46,2238399.73,1592392.68,613767.41,2248239.36,26020.68,Ruben Kihuen,House
33,F000445,0.0,19.26, J. RANDY FORBES,REP,I,1615954.79,2159026.19,1122038.47,493916.32,1619612.74,254906.03,J. Forbes,House
34,G000556,2401501.32,71055.66, ALAN MARK GRAYSON,DEM,I,403916.94,428194.77,366916.94,37000.0,453917.83,5270.16,Alan Grayson,House
35,M001194,35946.71,37623.85, JOHN MOOLENAAR,REP,I,1033802.95,1045552.12,500797.53,530705.42,1055125.41,3100.0,John Moolenaar,House
36,H001070,0.0,24152.17, CRESENT HARDY,REP,I,1763024.19,1931341.23,871829.19,890945.0,1892629.38,15850.0,Cresent Hardy,House
37,H001059,0.0,162199.05, RANDY HULTGREN,REP,I,1174797.44,1301824.3,306414.73,868382.71,1183161.68,3000.0,Randy Hultgren,House
38,G000563,10000.0,940533.79, ROBERT GIBBS,REP,I,899216.71,825887.18,275096.43,624120.28,899319.05,0.0,Bob Gibbs,House
39,E000290,0.0,0.0, DONNA FERN EDWARDS,DEM,,0.0,0.0,0.0,0.0,0.0,0.0,Donna Edwards,House
40,S001188,36444.0,877.0, MARLIN A STUTZMAN,REP,O,2402125.0,2927150.62,2061718.0,339237.0,2459512.0,319129.0,Marlin Stutzman,House
41,L000580,0.0,30505.19, MICHELLE LUJAN GRISHAM,DEM,I,1819378.95,2038669.08,1004681.73,814675.0,1885721.53,42428.23,Michelle Lujan Grisham,House
42,Q000023,0.0,692556.31, MIKE QUIGLEY,DEM,I,1012500.29,829547.64,444475.29,567875.0,1013643.52,2300.0,Mike Quigley,House
43,M000404,0.0,120887.45, JAMES MCDERMOTT,DEM,I,277155.1,195568.27,109455.1,167700.0,277655.1,0.0,Jim McDermott,House
44,F000448,81100.0,7449.97, TRENT FRANKS,REP,I,361598.0,360898.55,147498.0,214100.0,362299.08,735.0,Trent Franks,House
45,F000462,0.0,812067.59, LOIS J. FRANKEL,DEM,I,1643585.1,904770.06,1073063.98,570498.9,1644081.84,4350.0,Lois Frankel,House
46,P000604,0.0,77030.71, DONALD M. PAYNE,DEM,I,539932.13,492535.99,140202.29,399729.84,538946.11,5425.0,Donald Payne Jr.,House
47,C001102,3825000.0,208196.26, CURTIS J CLAWSON,REP,I,385515.23,213935.52,380515.23,5000.0,385515.23,6500.0,Curt Clawson,House
48,M001157,85000.0,105724.96, MICHAEL MCCAUL,REP,I,1724788.42,1730835.84,979521.18,745060.44,1774897.36,42195.0,Michael McCaul,House
49,B001293,20000.0,92183.07, MIKE BISHOP,REP,I,1630146.15,1588475.7,705311.92,909834.23,1640069.76,100.0,Mike Bishop,House
50,B001285,0.0,1649893.27, JULIA BROWNLEY,DEM,I,3349278.78,2023025.27,2290350.61,1051601.82,3397538.71,63225.82,Julia Brownley,House
51,B000490,0.0,198178.93, SANFORD D JR BISHOP,DEM,I,1111033.94,1058907.1,300222.51,809811.43,1112769.74,0.0,Sanford Bishop Jr.,House
52,C001067,77748.62,85192.45, YVETTE D CLARKE,DEM,I,683740.85,719156.42,209216.31,474524.54,685410.46,2510.0,Yvette Clarke,House
53,S000148,0.0,10676815.0, CHARLES E SCHUMER,DEM,I,16902919.0,20175908.0,13423865.0,3479053.0,17442741.0,259678.0,Charles Schumer,Senate
54,M001144,0.0,286591.64, JEFFERSON B. MILLER,REP,I,808586.23,696143.16,447872.33,360713.9,810634.1,218000.0,Jeff Miller,House
55,E000293,0.0,589108.17, ELIZABETH ESTY,DEM,I,1975421.92,1447329.34,1331376.39,639953.89,1989108.93,12668.54,Elizabeth Esty,House
56,M001201,524700.0,11408.71, PAUL III MITCHELL,REP,O,815160.1,3970681.06,162033.09,208450.0,3982089.77,550.0,Paul Mitchell,House
57,B001283,0.0,160186.17, JAMES FREDERICK BRIDENSTINE,REP,I,911175.9,1134451.14,637790.05,273385.85,924331.05,0.0,Jim Bridenstine,House
58,J000290,0.0,978761.47, LYNN JENKINS,REP,I,2177516.95,1530822.51,805294.95,1371972.0,2200864.8,7100.0,Lynn Jenkins,House
59,S000510,0.0,399695.38, D ADAM SMITH,DEM,I,921253.93,1105446.61,280653.93,640600.0,925645.11,2825.0,Adam Smith,House
60,S001170,0.0,3815.85, CAROL SHEA-PORTER,DEM,C,1526089.84,1554745.36,1024242.71,491847.13,1537929.58,13777.5,Carol Shea-Porter,House
61,W000816,11527.02,919399.6, ROGER WILLIAMS,REP,I,1452596.28,1216409.13,869192.49,583403.79,1718990.87,16194.0,Roger Williams,House
62,G000576,125160.0,7815.23, GLENN S. GROTHMAN,REP,I,1044873.79,1049181.91,753527.84,290845.95,1053488.02,4709.23,Glenn Grothman,House
63,S000185,3191.43,110924.8, ROBERT C. SCOTT,DEM,I,767389.07,765804.88,192839.07,574550.0,771224.07,113.46,Robert Scott,House
64,D000616,0.0,90735.13, SCOTT HON. DESJARLAIS,REP,I,607723.0,541926.97,408055.0,199668.0,607723.43,200.0,Scott DesJarlais,House
65,M001179,0.0,183520.06, THOMAS ANTHONY MARINO,REP,I,1094577.71,1001713.54,530422.84,563904.87,1101958.12,6267.5,Tom Marino,House
66,L000584,0.0,187356.51, MIA LOVE,REP,I,5183752.76,5576207.69,4138956.17,1039796.59,5472751.26,52448.31,Mia Love,House
67,H001052,0.0,771849.98, ANDREW P HARRIS,REP,I,1292669.46,819587.77,807697.97,483658.37,1293839.02,3275.0,Andy Harris,House
68,R000146,0.0,0.0, HARRY REID,DEM,,0.0,0.0,0.0,0.0,0.0,0.0,Harry Reid,Senate
69,P000034,0.0,1039220.84, FRANK JR PALLONE,DEM,I,2408733.38,1879868.25,808500.15,1599233.23,2415229.49,5163.1,Frank Pallone,House
70,H001045,0.0,669119.21, GREGG HARPER,REP,I,982225.0,1153288.68,431145.0,551080.0,1009225.0,2000.0,Gregg Harper,House
71,W000799,0.0,42071.16, TIMOTHY J WALZ,DEM,I,1550562.46,1610108.27,774075.21,773720.0,1572880.8,3600.0,Tim Walz,House
72,P000591,0.0,2131255.68, THOMAS EDMUNDS PRICE,REP,I,2273671.21,2462526.7,941047.68,1332123.53,2337387.1,300.0,Tom Price,House
73,A000374,75000.0,208161.38, RALPH LEE DR. JR. ABRAHAM,REP,I,588395.86,438812.89,281400.0,306995.86,607693.18,5200.0,Ralph Abraham,House
74,K000360,0.0,220848.0, MARK STEVEN KIRK,REP,I,7803424.0,10391167.0,5460172.0,2280451.0,8605868.0,186823.0,Mark Kirk,Senate
75,D000620,1163250.0,22042.84, JOHN K DELANEY,DEM,I,1667503.12,1959657.49,919126.86,680850.0,1957196.11,2400.0,John Delaney,House
76,A000370,0.0,107537.64, ALMA SHEALEY ADAMS,DEM,I,926585.93,844476.48,305585.88,615303.45,928922.67,4810.0,Alma Adams,House
77,L000551,4401.75,38131.96, BARBARA LEE,DEM,I,1324874.51,1374381.11,994434.51,330440.0,1328822.47,8187.0,Barbara Lee,House
78,H001072,0.0,648668.87, JAMES FRENCH HILL,REP,I,2149744.38,1640764.53,1255061.69,893432.69,2240181.57,1850.0,French Hill,House
79,W000809,0.0,1165816.16, STEVE WOMACK,REP,I,931282.13,568200.63,360459.07,570823.06,931782.13,300.0,Steve Womack,House
80,S001180,0.0,1202170.96, KURT SCHRADER,DEM,I,1844090.28,1569297.38,501526.46,1342528.88,1909841.12,1510.0,Kurt Schrader,House
81,L000578,36616.52,89475.6, DOUG LAMALFA,REP,I,797429.74,808869.52,399853.75,397575.99,800277.02,5600.0,Doug LaMalfa,House
82,C001076,0.0,408157.98, JASON CHAFFETZ,REP,I,1376288.62,1308015.97,585987.45,790301.17,1406796.27,2700.0,Jason Chaffetz,House
83,P000609,0.0,652180.33, GARY PALMER,REP,I,1216604.52,769978.37,931340.52,285264.0,1232446.2,15750.0,Gary Palmer,House
84,H001055,0.0,1404897.04, JOE HECK,REP,I,892988.43,234198.8,486586.33,406402.1,902727.13,1000.0,Joe Heck,House
85,V000132,0.0,229943.56, FILEMON MR. VELA,DEM,I,1228768.7,1067282.32,657837.0,570931.7,1238495.44,13450.0,Filemon Vela,House
86,W000812,0.0,2168324.76, ANN L. WAGNER,REP,I,2322140.7,1526930.25,1071640.7,1250500.0,2326366.1,8200.0,Ann Wagner,House
87,K000382,0.0,1068428.12, ANN MCLANE KUSTER,DEM,I,3176870.36,2182810.77,1982252.21,1189616.55,3221019.51,28672.9,Ann Kuster,House
88,C001080,1035.45,2059998.12, JUDY CHU,DEM,I,1180175.83,821116.26,777415.83,402760.0,1185705.39,14500.0,Judy Chu,House
89,L000583,0.0,10927.68, BARRY LOUDERMILK,REP,I,833057.91,915365.12,334357.91,498700.0,833620.13,1550.0,Barry Loudermilk,House
90,C001112,0.0,52291.86, SALUD CARBAJAL,DEM,O,3122707.08,3120305.56,2494082.6,623624.48,3172597.42,30901.0,Salud Carbajal,House
91,M001189,0.0,1050399.33, ALLEN LUCAS MESSER,REP,I,1936111.08,1356932.2,821381.59,1113729.49,1945850.71,4854.3,Luke Messer,House
92,R000580,0.0,113731.68, PETER ROSKAM,REP,I,2965658.7,3357095.91,1392661.62,1572997.08,3013381.97,24405.0,Peter Roskam,House
93,R000586,26498.42,624545.32, JAMES B. RENACCI,REP,I,2082244.09,1768258.71,682625.8,1399418.29,2107393.77,12709.84,Jim Renacci,House
94,P000607,0.0,399215.3, MARK POCAN,DEM,I,1038950.75,827312.32,424777.21,614145.0,1038977.75,162.33,Mark Pocan,House
95,C001110,1610.15,33694.41, JOSE LUIS (LOU) MR. CORREA,DEM,O,946713.87,918038.25,498391.09,448322.78,951732.66,25825.0,J. Correa,House
96,M000934,18655.0,1192108.0, JERRY MORAN,REP,I,4256271.0,4680838.0,2098774.0,2157496.0,4492732.0,49693.0,Jerry Moran,Senate
97,J000299,0.0,196094.36, JAMES MICHAEL JOHNSON,REP,O,1138539.48,1005718.09,985476.2,152000.0,1201812.45,18700.0,Mike Johnson,House
98,S000364,0.0,836289.72, JOHN M SHIMKUS,REP,I,3199379.02,3398401.99,705569.31,2493559.71,3207855.8,5600.0,John Shimkus,House
99,N000189,0.0,39528.43, DAN NEWHOUSE,REP,I,1252419.92,1258846.84,510648.5,741771.42,1273706.25,5200.0,Dan Newhouse,House
100,N000127,0.0,181075.26, RICHARD M. NOLAN,DFL,I,3033925.71,2892902.31,1878996.16,1149756.94,3047314.2,14967.05,Rick Nolan,House
101,M001202,16000.0,12025.42, STEPHANIE MURPHY,DEM,C,1067210.18,1071897.72,632642.97,423567.21,1083923.14,8735.53,Stephanie Murphy,House
102,E000291,21387.5,1494.77, RENEE JACISIN ELLMERS,REP,I,1372994.69,1544183.61,282386.67,1090608.02,1393532.73,107207.92,Renee Ellmers,House
103,C001084,0.0,733171.0, DAVID N CICILLINE,DEM,I,1515570.94,913194.34,1089375.94,426195.0,1523477.59,10406.0,David Cicilline,House
104,M001159,26852.0,35027.0, CATHY MCMORRIS RODGERS,REP,I,2718616.0,3421787.0,1221190.0,1497426.0,3274060.0,22470.0,Cathy McMorris Rodgers,House
105,G000558,0.0,1779094.57, S. BRETT HON. GUTHRIE,REP,I,1715408.25,1318277.41,254580.24,1460828.01,1729823.77,9525.0,Brett Guthrie,House
106,V000108,0.0,321164.78, PETER J. VISCLOSKY,DEM,I,1009837.36,949664.81,362011.08,645326.28,1009860.99,100.0,Peter Visclosky,House
107,M001163,1400.0,374973.71, DORIS MATSUI,DEM,I,1103090.61,1003549.57,282549.16,820479.5,1103289.27,0.0,Doris Matsui,House
108,H001077,81984.5,24807.85, CAPTAIN CLAY HIGGINS,REP,C,403654.87,379115.16,345504.87,58150.0,403923.01,0.0,Clay Higgins,House
109,B001273,0.0,65235.63, DIANE L MRS. BLACK,REP,I,1804933.21,2819757.52,713034.55,1091898.66,1818177.58,7750.0,Diane Black,House
110,R000599,0.0,990316.4, RAUL DR. RUIZ,DEM,I,3218740.61,2603224.23,2125195.28,1088550.58,3219813.81,57360.86,Raul Ruiz,House
111,L000554,0.0,350535.19, FRANK A. LOBIONDO,REP,I,1581596.51,1640946.72,433539.39,1147307.12,1598321.69,12900.0,Frank LoBiondo,House
112,A000367,0.0,217637.24, JUSTIN AMASH,REP,I,674288.28,799297.29,637088.28,36200.0,688107.52,2000.0,Justin Amash,House
113,B001302,317301.02,48597.08, ANDY BIGGS,REP,O,679532.63,947069.35,452132.13,227400.5,995666.43,1000.0,Andy Biggs,House
114,M001151,0.0,1188615.41, TIMOTHY MURPHY,REP,I,1492154.57,1129959.96,505996.58,986157.99,1499654.48,13900.0,Tim Murphy,House
115,C001096,0.0,395408.26, KEVIN MR. CRAMER,REP,I,1406340.42,1033730.28,534840.42,871500.0,1408240.58,1600.0,Kevin Cramer,House
116,R000592,0.0,1315564.74, THEODORE EDWARD ROKITA,REP,I,1431369.46,1178655.37,903422.77,527221.69,1441198.76,1775.0,Todd Rokita,House
117,G000577,0.0,842717.11, GARRET GRAVES,REP,I,1948445.99,1603483.56,1066478.41,881967.58,1951463.2,24150.0,Garret Graves,House
118,W000779,0.0,3398289.0, RONALD L WYDEN,DEM,I,8209007.0,7621379.0,6048066.0,2160941.0,8685642.0,30415.0,Ron Wyden,Senate
119,B001295,46000.0,7409.37, MICHAEL BOST,REP,I,2289697.22,2340925.06,1208172.73,1080524.49,2321040.38,6550.0,Mike Bost,House
120,K000381,0.0,2004233.23, DEREK KILMER,DEM,I,2074272.29,1076595.02,1030585.35,1043652.0,2140206.23,1052.0,Derek Kilmer,House
121,M000087,0.0,455868.06, CAROLYN B. MALONEY,DEM,I,1688309.28,1709392.28,891989.28,796320.0,1688309.28,1072.12,Carolyn Maloney,House
122,D000096,58954.71,307445.51, DANNY K. MR. DAVIS,DEM,I,549107.32,503244.38,57587.8,491519.52,549137.99,0.0,Danny Davis,House
123,R000604,0.0,29717.7, STEVEN DANE RUSSELL,REP,I,865512.45,847767.97,459458.33,406054.12,865837.42,250.0,Steve Russell,House
124,C000059,2370.5,582349.73, KEN CALVERT,REP,I,1445949.49,1276116.53,702944.0,743005.49,1452907.26,2050.0,Ken Calvert,House
125,H001071,0.0,71556.58, JODY HICE,REP,I,493832.07,425435.32,291352.82,202379.25,494549.33,3800.0,Jody Hice,House
126,G000548,0.0,89866.75, SCOTT REP. GARRETT,REP,I,2431098.42,4361463.81,1682840.91,746457.51,2469908.66,30930.0,Scott Garrett,House
127,V000129,0.0,49171.81, DAVID VALADAO,REP,I,2773993.69,2822073.4,1248328.32,1520665.37,2783958.76,15485.0,David Valadao,House
128,J000255,0.0,105143.98, WALTER B. JONES,REP,I,673200.69,695578.94,431000.69,242200.0,675247.86,15.0,Walter Jones,House
129,D000399,0.0,3681782.96, LLOYD DOGGETT,DEM,I,966920.23,421687.18,642519.81,324400.42,1061859.25,0.0,Lloyd Doggett,House
130,T000238,0.0,505030.51, MAC THORNBERRY,REP,I,1821138.74,1698238.18,943362.05,877776.69,1824829.15,2725.0,William Thornberry,House
131,R000597,0.0,525309.5, TOM RICE,REP,I,1112045.07,966223.53,433295.07,678750.0,1113297.11,5400.0,Tom Rice,House
132,N000188,15161.83,99462.67, DONALD W NORCROSS,DEM,I,2178838.83,2358006.4,1299124.02,879714.81,2431549.03,10.0,Donald Norcross,House
133,B001267,374819.0,1715122.0, MICHAEL F BENNET,DEM,I,13783836.0,15094864.0,10726326.0,2998307.0,15575583.0,133399.0,Michael Bennet,Senate
134,B001271,99500.0,435324.73, DANIEL J. BENISHEK,REP,I,514491.5,120674.61,185491.5,329000.0,529520.91,1250.0,Dan Benishek,House
135,K000376,90000.0,742101.76, GEORGE J JR KELLY,REP,I,1769994.23,1219325.08,645449.46,1123544.77,1823035.97,3650.0,Mike Kelly,House
136,D000604,0.0,852892.91, CHARLES W. REP. DENT,REP,I,1660125.99,1754284.94,622721.0,1037404.99,1669362.27,6816.67,Charlie Dent,House
137,B000575,0.0,157283.0, ROY BLUNT,REP,I,10714165.0,14133485.0,6658523.0,4043644.0,12077039.0,138002.0,Roy Blunt,Senate
138,W000795,0.0,630802.33, JOE THE HON. WILSON,REP,I,1146970.81,744980.15,503920.81,643050.0,1153117.97,500.0,Joe Wilson,House
139,G000289,0.0,765336.16, ROBERT W. GOODLATTE,REP,I,1776597.32,2007353.48,769787.22,1006283.85,1794187.63,12000.0,Robert Goodlatte,House
140,P000258,0.0,569667.16, COLLIN CLARK PETERSON,DEM,I,1201902.92,684956.19,196241.04,1005647.87,1203941.53,100.0,Collin Peterson,House
141,M000303,0.0,421864.0, JOHN S MCCAIN,REP,I,10323214.0,13353389.0,8126193.0,2144221.0,11756078.0,96133.0,John McCain,Senate
142,S001172,0.0,1176366.91, ADRIAN SMITH,REP,I,1156076.49,773856.83,234618.5,921457.99,1165784.51,2750.0,Adrian Smith,House
143,H001048,0.0,720060.34, DUNCAN D. HUNTER,REP,I,1092662.46,936452.99,293229.14,799433.32,1203940.64,2000.0,Duncan Hunter,House
144,D000614,0.0,974828.97, SEAN DUFFY,REP,I,2309198.67,2038977.53,1129150.69,1179747.98,2339393.44,35200.0,Sean Duffy,House
145,L000570,0.0,803410.86, BEN R MR. LUJAN,DEM,I,2108363.56,1876450.93,685858.67,1422504.89,2109472.55,1150.0,Ben Luján,House
146,P000593,0.0,351224.72, EDWIN G PERLMUTTER,DEM,I,1891982.13,1738254.37,698429.77,1193552.36,1907702.23,0.0,Ed Perlmutter,House
147,V000130,2784.94,79713.7, JUAN C. VARGAS,DEM,I,1007348.59,1069031.38,224522.32,782750.0,1138131.37,1000.0,Juan Vargas,House
148,S000522,0.0,272388.94, CHRISTOPHER H SMITH,REP,I,727343.29,665374.49,460609.51,266223.78,728767.64,3475.0,Christopher Smith,House
149,L000560,0.0,143832.43, RICK LARSEN,DEM,I,957708.16,1116830.47,212695.64,744998.5,958052.51,525.0,Rick Larsen,House
150,T000193,0.0,1256941.99, BENNIE G. THOMPSON,DEM,I,1026237.54,1029507.38,158570.65,867666.89,1029909.16,0.0,Bennie Thompson,House
151,T000461,493482.0,127390.0, PATRICK JOSEPH TOOMEY,REP,I,20752438.0,27781417.0,16904627.0,3788903.0,22084253.0,451817.0,Patrick Toomey,Senate
152,G000581,500000.0,120500.6, VICENTE MR. GONZALEZ,DEM,O,576195.0,2305694.4,287833.0,288362.0,2426195.0,1000.0,Vicente Gonzalez,House
153,S001200,0.0,20515.33, DARREN SOTO,DEM,O,1198519.8,1188607.94,703938.54,490081.26,1209123.27,12100.0,Darren Soto,House
154,H001047,0.0,2068163.93, JIM HIMES,DEM,I,2076102.84,1144648.03,1075373.56,1000729.28,2167398.67,43015.0,Jim Himes,House
155,F000464,0.0,103428.99, JOHN J. MR. FASO,REP,O,2955887.9,2922131.3,2437338.64,496156.06,3025560.29,12185.0,John Faso,House
156,J000295,0.0,365568.73, DAVID P JOYCE,REP,I,2114215.84,2028677.12,991574.03,1121866.81,2119215.84,1000.0,Dave Joyce,House
157,H001051,194000.0,253702.85, RICHARD L. HANNA,REP,I,323322.27,162572.73,58900.64,264421.63,325624.53,0.0,Richard Hanna,House
158,H001034,114129.74,32308.97, MIKE HONDA,DEM,I,2987535.75,2984634.37,2229590.42,757945.33,2996005.94,28019.43,Michael Honda,House
159,T000477,28714.55,64967.39, SCOTT TAYLOR,REP,O,832852.99,806017.6,520153.04,307699.95,870984.99,1500.0,Scott Taylor,House
160,M001177,6552.44,275176.34, THOMAS MCCLINTOCK,REP,I,1057559.0,1000517.91,922464.55,135094.45,1058570.56,18200.0,Tom McClintock,House
161,A000372,1125000.0,105396.4, RICHARD W ALLEN,REP,I,1124539.5,1098325.93,618864.5,505675.0,1143612.76,0.0,Rick Allen,House
162,F000372,441079.0,470315.96, RODNEY P. FRELINGHUYSEN,REP,I,1940895.99,1672002.44,1010830.65,924020.34,1994556.82,800.0,Rodney Frelinghuysen,House
163,R000486,0.0,72624.8, LUCILLE ROYBAL-ALLARD,DEM,I,656532.58,613085.03,292432.9,364099.68,656653.58,1100.0,Lucille Roybal-Allard,House
164,C001103,250000.0,503534.3, EARL LEROY CARTER,REP,I,1262277.25,987256.84,597539.64,664737.61,1271835.81,8300.0,Buddy Carter,House
165,J000289,0.0,1313687.71, JAMES D. JORDAN,REP,I,728929.54,422966.51,370033.49,354896.05,733416.16,1050.0,Jim Jordan,House
166,R000570,0.0,9098872.77, PAUL D. RYAN,REP,I,7453786.14,13433668.84,5921544.44,1532241.7,19852220.75,38075.0,Paul Ryan,House
167,T000465,0.0,467875.43, NICOLA S TSONGAS,DEM,I,1170145.18,1146668.15,781470.38,388674.8,1213205.85,12613.8,Niki Tsongas,House
168,C001069,0.0,622922.48, JOSEPH D COURTNEY,DEM,I,1190962.6,1154847.28,472196.54,718766.06,1202548.39,-750.0,Joe Courtney,House
169,W000796,0.0,524823.94, LYNN A. WESTMORELAND,REP,I,431649.87,338179.52,157519.4,274130.47,449972.29,5000.0,Lynn Westmoreland,House
170,P000523,0.0,215563.1, DAVID E. PRICE,DEM,I,788243.51,793951.71,340863.52,445079.99,793105.6,3000.0,David Price,House
171,G000579,255000.0,61825.45, MICHAEL JOHN GALLAGHER,REP,O,2765301.59,2703822.81,2138575.53,606126.06,2765648.26,8175.0,Mike Gallagher,House
172,C001061,0.0,508615.16, EMANUEL II CLEAVER,DEM,I,1164094.66,793180.46,249520.88,914573.78,1165082.56,22800.0,Emanuel Cleaver II,House
